,model_type,encoding,filtering,correct,incorrect,accuaracy,precision,recall,f1
0,log_reg,onehot,base,1165,22,0.9815,0.9716494845360825,1.0,0.9856209150326797
1,log_reg,onehot,mild,1078,109,0.9082,0.8909090909090909,0.9748010610079576,0.9309689677010766
2,log_reg,onehot,severe,1080,107,0.9099,0.8783625730994152,0.9960212201591512,0.9334990677439404
3,log_reg,ordinal,base,1167,20,0.9832,0.9741602067183462,1.0,0.9869109947643978
4,log_reg,ordinal,mild,1096,91,0.9233,0.8951132300357568,0.9960212201591512,0.9428750784682987
5,log_reg,ordinal,severe,1080,107,0.9099,0.8783625730994152,0.9960212201591512,0.9334990677439404
